,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Senior Data Scientist, 111 - 181  (Glassdoor est.),3.5,"Hopper
3.5","New York, NY",501 to 1000 employees,2007,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable
1,"Data Scientist, Product Analytics", 111 - 181  (Glassdoor est.),4.5,"Noom US
4.5","New York, NY",1001 to 5000 employees,2008,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable
2,Data Science Manager, 111 - 181  (Glassdoor est.),-1.0,Decode_M,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
3,Data Analyst, 111 - 181  (Glassdoor est.),3.4,"Sapphire Digital
3.4","Lyndhurst, NJ",201 to 500 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
4,"Director, Data Science", 111 - 181  (Glassdoor est.),3.4,"United Entertainment Group
3.4","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
5,Data Scientist, 111 - 181  (Glassdoor est.),2.9,"IFG Companies
2.9","New York, NY",201 to 500 employees,1985,Company - Private,Insurance Carriers,Insurance,Unknown / Non-Applicable
6,Quantitative Researcher, 111 - 181  (Glassdoor est.),4.4,"PDT Partners
4.4","New York, NY",51 to 200 employees,1993,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
7,Quantitative Research Associate, 111 - 181  (Glassdoor est.),-1.0,Enlightenment Research,"New York, NY",1 to 50 employees,-1,Unknown,-1,-1,Unknown / Non-Applicable
8,AI Scientist, 111 - 181  (Glassdoor est.),5.0,"Paige
5.0","New York, NY",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
9,Quantitative Researcher, 111 - 181  (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
10,Data Scientist, 111 - 181  (Glassdoor est.),3.9,"Quartet Health
3.9","New York, NY",201 to 500 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
11,Data Scientist/Machine Learning, 111 - 181  (Glassdoor est.),4.4,"PulsePoint
4.4","New York, NY",51 to 200 employees,2011,Company - Private,Internet,Information Technology,$100 to $500 million (USD)
12,"Data Scientist, Acorn AI Labs", 111 - 181  (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
13,Data Scientist, 111 - 181  (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
14,Data Scientist - Alpha Insights, 111 - 181  (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
15,Data Scientist, 111 - 181  (Glassdoor est.),3.0,"Affinity Solutions
3.0","New York, NY",51 to 200 employees,1998,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
16,"Data Scientist, Analytics", 111 - 181  (Glassdoor est.),3.6,"Etsy
3.6","Brooklyn, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
17,Data Scientist/ML Engineer, 111 - 181  (Glassdoor est.),3.3,"PA Consulting
3.3","New York, NY",1001 to 5000 employees,1943,Company - Private,Consulting,Business Services,$100 to $500 million (USD)
18,Data Scientist, 111 - 181  (Glassdoor est.),3.6,"Etsy
3.6","New York, NY",501 to 1000 employees,2005,Company - Public,Other Retail Stores,Retail,$100 to $500 million (USD)
19,"VP, Data Science", 111 - 181  (Glassdoor est.),3.9,"7Park Data
3.9","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
20,"Data Scientist, Disney+ Personalization", 111 - 181  (Glassdoor est.),4.0,"Walt Disney Co.
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
21,"Senior Data Scientist, Data Science Operations", 111 - 181  (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
22,Quantitative Researcher – Intern (US), 111 - 181  (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
23,Senior Data Engineer (Healthcare Domain experience required), 111 - 181  (Glassdoor est.),3.4,"Enterprise Integration
3.4","New York, NY",51 to 200 employees,1998,Company - Private,IT Services,Information Technology,$25 to $50 million (USD)
24,Data Scientist, 111 - 181  (Glassdoor est.),4.4,"WITHIN
4.4","New York, NY",51 to 200 employees,2015,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
25,"Data Scientist, Marketplace Economics", 111 - 181  (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
26,Data Scientist, 111 - 181  (Glassdoor est.),4.1,"Datadog
4.1","New York, NY",1001 to 5000 employees,2010,Company - Public,Computer Hardware & Software,Information Technology,$100 to $500 million (USD)
27,Lead Data Scientist, 111 - 181  (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
28,"Data Scientist, Personalization", 111 - 181  (Glassdoor est.),5.0,"Hungryroot
5.0","New York, NY",1 to 50 employees,2015,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
29,Principal Data Scientist, 111 - 181  (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
30,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"Caserta
4.3","New York, NY",51 to 200 employees,2001,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
31,"Data Scientist, Decisions", 120 - 140  (Glassdoor est.),3.7,"Lyft
3.7","New York, NY",5001 to 10000 employees,2012,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
32,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"IBG LLC
4.3","New York, NY",201 to 500 employees,1990,Company - Private,Brokerage Services,Finance,$100 to $500 million (USD)
33,Data Scientist, 120 - 140  (Glassdoor est.),3.0,"CLEAR
3.0","New York, NY",1001 to 5000 employees,2010,Company - Private,Security Services,Business Services,Unknown / Non-Applicable
34,Data Science Analyst, 120 - 140  (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",201 to 500 employees,1914,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD)
35,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]", 120 - 140  (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
36,Data Scientist, 120 - 140  (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
37,Data Scientist, 120 - 140  (Glassdoor est.),4.2,"infarm
4.2","New York, NY",501 to 1000 employees,2013,Company - Private,Food & Beverage Stores,Retail,Unknown / Non-Applicable
38,Data Scientist for Alpha Insights, 120 - 140  (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",201 to 500 employees,-1,Company - Private,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
39,"Data Scientist, Analytics", 120 - 140  (Glassdoor est.),4.6,"Bowery Farming
4.6","New York, NY",51 to 200 employees,2015,Company - Private,Food Production,Agriculture & Forestry,Unknown / Non-Applicable
40,Data Scientist, 120 - 140  (Glassdoor est.),4.3,"NorthOne
4.3","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
41,Quantitative Researcher / Quantitative Research Analyst, 120 - 140  (Glassdoor est.),4.1,"Citadel Securities
4.1","New York, NY",201 to 500 employees,2002,Company - Private,Brokerage Services,Finance,Unknown / Non-Applicable
42,Technical Data Consultant, 120 - 140  (Glassdoor est.),4.3,"Braze
4.3","New York, NY",501 to 1000 employees,2011,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
43,"Data Scientist, Instagram - Well-being, Trust", 120 - 140  (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
44,Data Science Analyst, 120 - 140  (Glassdoor est.),-1.0,MUSIC & Entertainment,"New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
45,"Data Scientist, Decisions", 120 - 140  (Glassdoor est.),3.9,"Crisis Text Line
3.9","New York, NY",51 to 200 employees,2013,Nonprofit Organization,Health Fundraising Organizations,Non-Profit,Unknown / Non-Applicable
46,Data Scientist, 120 - 140  (Glassdoor est.),3.4,"Casper
3.4","New York, NY",501 to 1000 employees,2014,Company - Public,Home Furniture & Housewares Stores,Retail,Unknown / Non-Applicable
47,Data Scientist/Lead Data Scientist, 120 - 140  (Glassdoor est.),4.7,"BlueLabs
4.7","New York, NY",1 to 50 employees,-1,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable
48,Quantitative Research Analyst, 120 - 140  (Glassdoor est.),3.6,"Tower Research Capital
3.6","New York, NY",501 to 1000 employees,1998,Company - Private,Financial Analytics & Research,Finance,Unknown / Non-Applicable
49,"Data Scientist, Analytics & Inference", 120 - 140  (Glassdoor est.),3.5,"Codecademy
3.5","New York, NY",51 to 200 employees,2011,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
50,Data Analyst, 120 - 140  (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
51,CIB - Data Scientist, 120 - 140  (Glassdoor est.),3.9,"JPMorgan Chase
3.9","New York, NY",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
52,Data Scientist, 120 - 140  (Glassdoor est.),3.2,"viagogo
3.2","New York, NY",501 to 1000 employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
53,Data Scientist, 120 - 140  (Glassdoor est.),-1.0,CompIQ,"New York, NY",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
54,Lead Data Scientist - 66201BR, 120 - 140  (Glassdoor est.),3.3,"Aetna
3.3","New York, NY",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
55,"Data Scientist, Analytics & Inference", 120 - 140  (Glassdoor est.),-1.0,Codeacademy,"New York, NY",-1,-1,-1,-1,-1,-1
56,Data Scientist, 120 - 140  (Glassdoor est.),4.2,"Gallup
4.2","New York, NY",1001 to 5000 employees,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
57,"Data Scientist, Buyer Experience", 120 - 140  (Glassdoor est.),3.6,"eBay
3.6","New York, NY",10000+ employees,1995,Company - Public,Internet,Information Technology,$10+ billion (USD)
58,Data Scientist, 120 - 140  (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
59,Data Scientist - Forecasting, 120 - 140  (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
60,Data Scientist - Machine Learning Platform, 119 - 147  (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
61,Data Scientist - People Analytics, 119 - 147  (Glassdoor est.),-1.0,Doctors Without Borders | Médecins Sans Frontières,"New York, NY",-1,-1,-1,-1,-1,-1
62,Data Scientist / Engineer, 119 - 147  (Glassdoor est.),5.0,"Snappy
5.0","New York, NY",1 to 50 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
63,Data Scientist, 119 - 147  (Glassdoor est.),-1.0,Pierce Technology Corp,"New York, NY",-1,-1,-1,-1,-1,-1
64,Applied Data Scientist, 119 - 147  (Glassdoor est.),3.4,"Aptus Health
3.4","New York, NY",201 to 500 employees,2008,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
65,Data Scientist - Analytics Engineer, 119 - 147  (Glassdoor est.),3.9,"JPMorgan Chase Bank, N.A.
3.9","Jersey City, NJ",10000+ employees,1799,Company - Public,Investment Banking & Asset Management,Finance,$10+ billion (USD)
66,People Analytics Data Scientist, 119 - 147  (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
67,Data Scientist, 119 - 147  (Glassdoor est.),3.0,"Known
3.0","New York, NY",201 to 500 employees,2004,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
68,Credit Analytics Manager, 119 - 147  (Glassdoor est.),4.0,"Liberty Lending
4.0","New York, NY",51 to 200 employees,2015,Company - Private,Lending,Finance,Unknown / Non-Applicable
69,Data Scientist - Nationwide Opportunities, 119 - 147  (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
70,Data Scientist, 119 - 147  (Glassdoor est.),3.6,"DoSomething.org
3.6","New York, NY",51 to 200 employees,1993,Nonprofit Organization,Social Assistance,Non-Profit,$5 to $10 million (USD)
71,Data Scientist, 119 - 147  (Glassdoor est.),3.9,"ApTask
3.9","New York, NY",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$50 to $100 million (USD)
72,Data Scientist, 119 - 147  (Glassdoor est.),2.8,"Match Group
2.8","New York, NY",1001 to 5000 employees,1998,Company - Private,Advertising & Marketing,Business Services,$100 to $500 million (USD)
73,Data Scientist - Power BI, 119 - 147  (Glassdoor est.),4.1,"UCI
4.1","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
74,Data Engineer (Python), 74 - 124  (Glassdoor est.),4.4,"Conductor
4.4","New York, NY",201 to 500 employees,2010,Company - Private,Internet,Information Technology,$25 to $50 million (USD)
75,Data Scientist - Next Gen Digital Investing App, 74 - 124  (Glassdoor est.),3.3,"Forbes Media
3.3","Jersey City, NJ",201 to 500 employees,1917,Company - Private,Publishing,Media,Unknown / Non-Applicable
76,Data Scientist, 74 - 124  (Glassdoor est.),2.9,"Interactive Brokers
2.9","New York, NY",1001 to 5000 employees,-1,Company - Public,Brokerage Services,Finance,$1 to $2 billion (USD)
77,Data Scientist - Disney Streaming Services, 74 - 124  (Glassdoor est.),4.0,"The Walt Disney Company
4.0","New York, NY",10000+ employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD)
78,Data Scientist Technical Lead, 74 - 124  (Glassdoor est.),4.4,"Google
4.4","New York, NY",10000+ employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
79,Healthcare Data Scientist, 74 - 124  (Glassdoor est.),3.8,"Milliman
3.8","New York, NY",1001 to 5000 employees,1947,Company - Private,Consulting,Business Services,$1 to $2 billion (USD)
80,Data Scientist - Relocate to Washington D.C., 74 - 124  (Glassdoor est.),3.8,"CIA
3.8","New York, NY",Unknown,1947,Government,Federal Agencies,Government,Unknown / Non-Applicable
81,Senior Data Scientist, 74 - 124  (Glassdoor est.),2.7,"Metroplus Health Plan
2.7","New York, NY",1001 to 5000 employees,1985,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
82,Data Scientist, 74 - 124  (Glassdoor est.),-1.0,Huxley Banking & Financial Services,"New York, NY",-1,-1,-1,-1,-1,-1
83,"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))", 74 - 124  (Glassdoor est.),4.3,"Medidata Solutions
4.3","New York, NY",1001 to 5000 employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$500 million to $1 billion (USD)
84,"Data Scientist, Analytics- Instagram-Family Stories", 74 - 124  (Glassdoor est.),4.5,"Facebook
4.5","New York, NY",10000+ employees,2004,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
85,Data Scientist, 74 - 124  (Glassdoor est.),-1.0,One Drop,"New York, NY",1 to 50 employees,-1,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
86,Point72 Data Scientist, 74 - 124  (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
87,"Data Scientist II, Data, Models & Decisions", 74 - 124  (Glassdoor est.),3.3,"LivePerson, Inc.
3.3","New York, NY",1001 to 5000 employees,1995,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
88,Data Scientist, 74 - 124  (Glassdoor est.),-1.0,Microagility,"New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,$1 to $5 million (USD)
89,Data Scientist/Data Architect, 74 - 124  (Glassdoor est.),-1.0,Financial Services Company,"New York, NY",-1,-1,-1,-1,-1,-1
90,AI - Quantitative Research Scientist, 74 - 124  (Glassdoor est.),3.8,"Bloomberg
3.8","New York, NY",10000+ employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
91,Data Scientist, 74 - 124  (Glassdoor est.),3.6,"Koch Industries
3.6","New York, NY",10000+ employees,1940,Company - Private,Oil & Gas Exploration & Production,"Oil, Gas, Energy & Utilities",$10+ billion (USD)
92,Data Scientist - Altdata, 74 - 124  (Glassdoor est.),3.3,"Huxley
3.3","New York, NY",201 to 500 employees,1995,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD)
93,Data Analyst, 74 - 124  (Glassdoor est.),4.1,"NYU Langone Health
4.1","New York, NY",10000+ employees,1841,Hospital,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
94,Data Scientist, 74 - 124  (Glassdoor est.),2.8,"Gate Staffing LLC
2.8","New York, NY",1 to 50 employees,2010,Self-employed,IT Services,Information Technology,$1 to $5 million (USD)
95,Data Scientist, 74 - 124  (Glassdoor est.),-1.0,ConcertAI,"New York, NY",-1,-1,-1,-1,-1,-1
96,"Data Scientist, Recommendations", 74 - 124  (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable
97,"Data Scientist, Analytics & Insights", 74 - 124  (Glassdoor est.),3.4,"Tapestry
3.4","New York, NY",10000+ employees,2017,Company - Public,Other Retail Stores,Retail,Unknown / Non-Applicable
98,Data Scientist, 74 - 124  (Glassdoor est.),2.9,"CKM Advisors
2.9","New York, NY",51 to 200 employees,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
99,Machine Learning Engineer/Scientist, 74 - 124  (Glassdoor est.),4.8,"Jane Street
4.8","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
100,Point72 Healthcare Data Scientist, 74 - 124  (Glassdoor est.),3.9,"Point72
3.9","New York, NY",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
101,Senior Data Scientist - Automated Marketing, 74 - 124  (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
102,Data Scientist, 74 - 124  (Glassdoor est.),5.0,"Averity
5.0","New York, NY",1 to 50 employees,2014,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable
103,Data Scientist, 74 - 124  (Glassdoor est.),4.2,"The CARIAN Group
4.2","New York, NY",1 to 50 employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable
104,Machine Learning & Data Engineer (Remote), 102 - 121  (Glassdoor est.),4.7,"Jun Group Productions LLC
4.7","New York, NY",51 to 200 employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
105,Data Scientist, 102 - 121  (Glassdoor est.),-1.0,GradTests (gradtests.com),"New York, NY",-1,-1,-1,-1,-1,-1
106,Data Scientist, 102 - 121  (Glassdoor est.),2.8,"Committee of 100
2.8","New York, NY",1 to 50 employees,-1,Company - Private,Social Assistance,Non-Profit,$1 to $5 million (USD)
107,Data Scientist / Statistician, 102 - 121  (Glassdoor est.),4.2,"NJF Global Holdings
4.2","New York, NY",51 to 200 employees,2003,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD)
108,Data Analyst, 102 - 121  (Glassdoor est.),4.0,"DMGT
4.0","New York, NY",5001 to 10000 employees,1896,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
109,Data Scientist (Java), 102 - 121  (Glassdoor est.),4.9,"ubergig
4.9","New York, NY",1 to 50 employees,2009,Company - Private,Building & Personnel Services,Business Services,$5 to $10 million (USD)
110,Data Scientist, 102 - 121  (Glassdoor est.),4.0,"OneWire
4.0","New York, NY",1 to 50 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD)
111,Data Scientist, 102 - 121  (Glassdoor est.),3.4,"Thomas
3.4","New York, NY",201 to 500 employees,1898,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable
112,Data Scientist, 102 - 121  (Glassdoor est.),2.7,"TBWA\Chiat\Day
2.7","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD)
113,Statistician (Data Scientist) *12 month Roster* *Direct Hire*, 102 - 121  (Glassdoor est.),3.5,"Internal Revenue Service
3.5","New York, NY",10000+ employees,1862,Government,Federal Agencies,Government,Unknown / Non-Applicable
114,Data Scientist, 102 - 121  (Glassdoor est.),3.4,"Harry and David, LLC
3.4","Carle Place, NY",501 to 1000 employees,1934,Company - Public,Food & Beverage Stores,Retail,$100 to $500 million (USD)
115,Data Science Specialist USA, 102 - 121  (Glassdoor est.),3.3,"Mphasis limited
3.3","New York, NY",10000+ employees,1992,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD)
116,Senior Data Scientist, 102 - 121  (Glassdoor est.),2.5,"Foursquare
2.5","New York, NY",201 to 500 employees,2009,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
117,Data Scientist, 102 - 121  (Glassdoor est.),-1.0,Glean Analytics Inc.,"New York, NY",-1,-1,-1,-1,-1,-1
118,"Quantitative Developer, Data & Institutional Markets", 102 - 121  (Glassdoor est.),4.4,"Ripple
4.4","New York, NY",201 to 500 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
119,"Data Scientist, Two Sigma Private Investments", 102 - 121  (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",1001 to 5000 employees,2001,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
120,"Senior Data Scientist, Game Analytics", 102 - 121  (Glassdoor est.),4.1,"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,1998,Subsidiary or Business Segment,Video Games,Media,$10 to $25 million (USD)
121,Data Scientist, 102 - 121  (Glassdoor est.),4.8,"TechProjects
4.8","New York, NY",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable
122,Data Scientist, 102 - 121  (Glassdoor est.),3.6,"Spring Health
3.6","New York, NY",1 to 50 employees,2016,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
123,Senior Data Scientist, 102 - 121  (Glassdoor est.),3.8,"Grubhub
3.8","New York, NY",1001 to 5000 employees,2004,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
124,Data Scientist, 102 - 121  (Glassdoor est.),5.0,"SkillSoniq
5.0","New York, NY",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
125,Data Scientist - Demand Forecasting, 102 - 121  (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
126,Senior Data Scientist, 102 - 121  (Glassdoor est.),4.5,"Arena
4.5","New York, NY",1 to 50 employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD)
127,Quantitative Analyst Intern, 102 - 121  (Glassdoor est.),4.4,"D. E. Shaw & Co.
4.4","New York, NY",1001 to 5000 employees,1988,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
128,"Data Scientist / Analytics, Data Engineering", 102 - 121  (Glassdoor est.),1.0,"Sphinix Solutions
1.0","New York, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,Less than $1 million (USD)
129,Data Analyst (Games), 102 - 121  (Glassdoor est.),-1.0,Carry1st,"New York, NY",-1,-1,-1,-1,-1,-1
130,Data Scientist, 102 - 121  (Glassdoor est.),4.0,"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD)
131,Sports Betting Data Scientist, 102 - 121  (Glassdoor est.),-1.0,Line Sniper,"New York, NY",-1,-1,-1,-1,-1,-1
132,Data Scientist, 102 - 121  (Glassdoor est.),3.6,"Strategic Financial Solutions
3.6","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable
133,Data Scientist, 102 - 121  (Glassdoor est.),3.7,"Audible
3.7","Newark, NJ",1001 to 5000 employees,1995,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,Unknown / Non-Applicable
134,Data Scientist, 129 - 210  (Glassdoor est.),3.4,"Voice
3.4","Brooklyn, NY",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
135,Data Engineer, 129 - 210  (Glassdoor est.),4.7,"Seated
4.7","New York, NY",1 to 50 employees,2017,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
136,"Senior / Data Scientist, Ads and Messaging R&D", 129 - 210  (Glassdoor est.),3.8,"Spotify
3.8","New York, NY",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,Unknown / Non-Applicable
137,Data Scientist/Data Science Instructor (Part-time), 129 - 210  (Glassdoor est.),4.9,"NYC Data Science Academy
4.9","New York, NY",1 to 50 employees,2014,Company - Private,Education Training Services,Education,Unknown / Non-Applicable
138,Federal - Data Scientist, 129 - 210  (Glassdoor est.),4.2,"Solekai Systems Corp
4.2","New York, NY",1 to 50 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD)
139,Data Scientist, 129 - 210  (Glassdoor est.),3.4,"Digital Intelligence Systems, LLC
3.4","Franklin Lakes, NJ",1001 to 5000 employees,1994,Company - Private,IT Services,Information Technology,$100 to $500 million (USD)
140,"Senior Analyst, Data Science", 129 - 210  (Glassdoor est.),3.9,"Roku
3.9","New York, NY",1001 to 5000 employees,2002,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD)
141,Senior Data Scientist, 129 - 210  (Glassdoor est.),4.4,"Oliver Wyman
4.4","New York, NY",1001 to 5000 employees,1984,Subsidiary or Business Segment,Consulting,Business Services,$1 to $2 billion (USD)
142,Machine Learning Researcher / Data Scientist, 129 - 210  (Glassdoor est.),-1.0,"J Harlan Group, LLC","New York, NY",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
143,Applied Scientist, 129 - 210  (Glassdoor est.),3.9,"Amazon
3.9","New York, NY",10000+ employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
144,Quantitative Researcher - Portfolio Modeling, 129 - 210  (Glassdoor est.),-1.0,Edward Daniels Group,"New York, NY",1 to 50 employees,2007,Company - Private,IT Services,Information Technology,$1 to $5 million (USD)
